Respondent ID,Age,Gender,Family Size,Native State,Zone,Usage,Purchase criteria 1,Purchase criteria 2,Purchase criteria 3,Purchase Monthly Frequency,Monthly Purchase (ltrs),Preferred Brand,Spend (Rs.),Packing Preference,Usage,Purchase Criteria-1,Purchase Criteria-2,Purchase Criteria-3,Purchase Criteria-4,Monthly purchase (cups),Preferred Brand,Spend,Packing Preference,Purchased from,Decision Maker-1,Decision Maker-2,Decision Maker-3,Decision Maker-4,Decision Maker-5
10279214061,41,Female,8+,Karnataka,South,Yes,Brand,Price,Taste,30,115,Nandini,4600,Reusable Containers,Yes,Price,Thickness,Taste,Brand,6,happy cow,640,No Specific Choice,Milk Distributor,Wife,,,,
10279203411,25,Male,4,Karnataka,South,Yes,Brand,Taste,Price,30,1,Nandini,20,Milk Pouches,,,,,,,,,,,,,,,
10278566991,38,Male,3,Karnataka,South,No,,,,,,,,,Yes,Brand,Taste,Price,Thickness,2,Nandini,41,Pouch,Retail Outlet,Husband,,,,
10278483593,25,Male,4,Karnataka,South,No,,,,,,,,,Yes,Thickness,Price,Taste,Brand,7,Amul,176,No Specific Choice,Retail Outlet,Self,,,,
10278471633,36,Female,4,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10278458736,30,Male,5,Maharashtra,West,No,,,,,,,,,Yes,Taste,Thickness,Price,Brand,6,Amul,286,Cup,Retail Outlet,Self,,,,
10278346584,40,Female,4,Tamil Nadu,South,,,,,,,,,,,,,,,,,,,,,,,,
10278072014,23,Female,3,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10278016992,35,Male,4,Andhra Pradesh,South,Yes,Taste,Brand,Price,30,25,Nilgiris,1125,Milk Pouches,Yes,Taste,Price,Brand,Thickness,14,Aahaa,352,Pouch,Milk Distributor,Husband,Wife,,,
10277327530,68,Male,2,Andhra Pradesh,South,Yes,Brand,Price,Taste,30,55,Nandini,2080,Milk Pouches,Yes,Brand,Price,Taste,Thickness,15,Milky Mist,384,No Specific Choice,Retail Outlet,Husband,,,,
10276978929,31,Male,3,Karnataka,South,Yes,Brand,Taste,Price,30,10,Nandini,200,Milk Pouches,Yes,Brand,Thickness,Taste,Price,9,Nandini,213.2,Pouch,Retail Outlet,Self,,,,
10276941577,34,Female,3,Karnataka,South,Yes,Taste,Brand,Price,30,10,Arokya,215.6,Milk Pouches,Yes,Brand,Taste,Thickness,Price,2,Milky Mist,60,Pouch,Milk Distributor,Wife,,,,
10275118774,36,Female,4,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10274526409,28,Female,4,Karnataka,South,Yes,Taste,Brand,Price,8,35,Nandini,1400,Reusable Containers,,,,,,,,,,,,,,,
10274511481,26,Male,4,Karnataka,South,Yes,Brand,Price,Taste,15,15,Heritage,660,Milk Pouches,Yes,Brand,Price,Taste,Thickness,6,Heritage,153.6,Pouch,Milk Distributor,Self,,,,
10274474298,21,Male,4,Karnataka,South,Yes,Brand,Taste,Price,30,10,Nandini,200,Milk Pouches,"No, I make it at home",,,,,,,,,,Wife,Parents,Self,,
10274396139,27,Male,3,Karnataka,South,Yes,Taste,Brand,Price,15,25,Nandini,1000,Milk Pouches,Yes,Taste,Thickness,Brand,Price,9,Nandini,213.2,Pouch,Milk Distributor,Self,,,,
10271863255,51,Female,4,Karnataka,South,Yes,Taste,Brand,Price,4,35,Nandini,1400,Fino Pouch,,,,,,,,,,,,,,,
10270161794,29,Male,3,Maharashtra,West,No,,,,,,,,,Yes,Brand,Taste,Thickness,Price,1,Amul,55,Cup,Retail Outlet,,,,,
10269311715,26,Male,8+,Maharashtra,West,Yes,Taste,Brand,Price,15,15,Heritage,660,No Specific Choice,Yes,Taste,Price,Brand,Thickness,10,Tirumala,239.2,Pouch,Milk Distributor,Wife,,,,
10269256352,42,Male,5,Karnataka,South,Yes,Brand,Price,Taste,30,65,Nandini,2600,Milk Pouches,Yes,Thickness,Taste,Price,Brand,15,Milky Mist,384,No Specific Choice,Retail Outlet,,,,,
10269237518,63,Female,5,Tamil Nadu,South,Yes,Brand,Taste,Price,30,45,Nandini,1800,Milk Pouches,,,,,,,,,,,,,,,
10268971608,45,Male,4,Karnataka,South,Yes,Taste,Brand,Price,30,55,Amul,2288,Tetrapak,Yes,Brand,Taste,Thickness,Price,6,Milky Mist,312,Cup,Retail Outlet,Wife,,,,
10268902057,38,Female,4,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10268889782,45,Female,3,Tamil Nadu,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10268876056,44,Female,3,Karnataka,South,No,,,,,,,,,Yes,Brand,Taste,Price,Thickness,8,Milky Mist,192,Pouch,Retail Outlet,Self,,,,
10268858410,35,Female,5,Kerala,South,Yes,Taste,Brand,Price,15,15,Nandini,600,Reusable Containers,Yes,Taste,Brand,Thickness,Price,5,Nandini,131.2,Pouch,Milk Distributor,Self,,,,
10268857464,42,Male,4,Karnataka,South,No,,,,,,,,,"No, I make it at home",,,,,,,,,,Wife,,,,
10268857340,26,Female,2,Karnataka,South,Yes,Brand,Taste,Price,15,1,Nandini,20,Milk Pouches,Yes,Brand,Taste,Thickness,Price,1,Amul,55,Cup,Ecommerce Site,Self,,,,
10268849295,27,Female,2,Uttar Pradesh,North,Yes,Taste,Brand,Price,15,10,Mother Dairy,,Reusable Containers,,,,,,,,,,,,,,,
10268738290,30,Male,2,Telangana,South,Yes,Brand,Taste,Price,30,15,Nandini,600,Milk Pouches,"No, I make it at home",,,,,,,,,,Wife,Self,,,
10267384944,26,Male,4,Karnataka,South,Yes,Price,Taste,Brand,30,10,Nandini,200,Milk Pouches,"No, I make it at home",,,,,,,,,,Self,,,,
10267336389,>70,Female,7,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10266611969,36,Male,3,Tamil Nadu,South,No,,,,,,,,,Yes,,,,,,,,,,,,,,
10266440237,38,Male,3,Telangana,South,Yes,Brand,Price,Taste,4,35,Akshayakalpa,2450,No Specific Choice,Yes,Taste,Brand,Price,Thickness,6-10 Cups,Nilgiris,128,,Ecommerce Site,Self,,,,
10300557428,30,Male,7,Karnataka,South,Yes,Taste,,,30,15,Heritage,660,Reusable Containers,Yes,Taste,,,,6,Heritage,153.6,Pouch,Retail Outlet,Self,,,,
10300364839,20,Male,2,Andhra Pradesh,South,No,,,,,,,,,Yes,Brand,,,,5,Nandini,131.2,Pouch,,,,,,
10299990561,48,Male,4,Karnataka,South,No,,,,,,,,,,,,,,,,,,,,,,,
10299904520,25,Female,3,Karnataka,South,Yes,Taste,,,30,15,Heritage,660,Milk Pouches,Yes,Thickness,,,,1,Milky Mist,60,Cup,Retail Outlet,Self,,,,
10299854932,<20,Male,8+,Odisha,East,,,,,,,,,,,,,,,,,,,,,,,,
10299807655,50,Female,3,Karnataka,South,Yes,Price,,,4,10,Nandini,200,Milk Pouches,Yes,Thickness,,,,2,Heritage,48,Pouch,Milk Distributor,Household help,,,,
10299736027,32,Female,6,Karnataka,South,Yes,Taste,,,30,35,Nandini,1400,No Specific Choice,Yes,Thickness,,,,8,Milky Mist,384,Cup,Milk Distributor,Self,,,,
10299667070,45,Male,4,Karnataka,South,Yes,Price,,,30,45,Nandini,1800,Milk Pouches,Yes,Thickness,,,,5,Nandini,131.2,Pouch,Retail Outlet,Parents,,,,
10299609989,30,Female,2,Karnataka,South,No,,,,,,,,,Yes,Taste,,,,5,Nandini,131.2,Pouch,Retail Outlet,Husband,,,,
10299556303,32,Male,4,Karnataka,South,Yes,Brand,,,15,15,Nandini,600,Tetrapak,Yes,Taste,,,,9,Nandini,213.2,Pouch,Retail Outlet,Self,,,,
10299491686,31,Female,6,Karnataka,South,Yes,Taste,,,30,35,Nandini,1400,Milk Pouches,Yes,Taste,,,,3,Nandini,131.2,Cup,Milk Distributor,Self,,,,
10299429705,32,Female,4,Karnataka,South,No,,,,,,,,,Yes,Taste,,,,2,Nandini,41,Pouch,Milk Distributor,Parents,,,,
10299404977,69,Male,4,Karnataka,South,,,,,,,,,,,,,,,,,,,,,,,,
10299379671,57,Male,3,Karnataka,South,Yes,Taste,,,4,10,Nandini,200,Milk Pouches,Yes,Taste,,,,9,Nandini,213.2,Pouch,Milk Distributor,Wife,,,,
10299378577,35,Male,7,Karnataka,South,Yes,Colour,,,8,25,Amul,1100,Tetrapak,Yes,Taste,,,,5,Nandini,131.2,Pouch,Retail Outlet,Self,,,,
10299314475,46,Male,3,West Bengal,East,Yes,Brand,,,15,25,Amul,1100,Milk Pouches,Yes,,,,,,,,,,,,,,
10299279208,33,Male,5,Karnataka,South,Yes,Taste,,,30,35,Nandini,1400,Milk Pouches,Yes,Brand,,,,4,Nandini,213.2,Cup,Retail Outlet,Wife,,,,
10299238165,30,Female,6,Karnataka,South,Yes,Brand,,,30,15,Nandini,600,Tetrapak,Yes,Brand,,,,2,Nandini,41,Pouch,Retail Outlet,Self,,,,
10298428426,42,Male,6,Karnataka,South,No,,,,,,,,,Yes,Taste,,,,10,Nandini,262.4,Pouch,Milk Distributor,Wife,,,,
10298308220,36,Male,8+,Karnataka,South,Yes,Taste,,,30,25,Nandini,1000,Milk Pouches,Yes,Taste,,,,6,Heritage,153.6,Pouch,Retail Outlet,Husband,,,,
10298192825,33,Male,6,Karnataka,South,No,,,,,,,,,"No, I make it at home",,,,,,,,,Ecommerce Site,Parents,,,,
10298106981,42,Female,4,Karnataka,South,Yes,Brand,,,30,35,Nandini,1400,Milk Pouches,"No, I make it at home",,,,,,,,,Retail Outlet,Wife,,,,
10297959732,51,Male,4,Karnataka,South,Yes,Price,,,4,25,Nandini,1000,Milk Pouches,Yes,Taste,,,,5,Nandini,131.2,Pouch,,,,,,
10297759781,30,Male,4,Karnataka,South,,,,,,,,,,,,,,,,,,,,,,,,
10297345288,58,Female,4,Karnataka,South,No,,,,,,,,,Yes,Thickness,,,,2,Nandini,41,Pouch,Ecommerce Site,Self,,,,
10297153474,34,Female,3,Karnataka,South,Yes,Brand,,,30,10,Arokya ,,Milk Pouches,Yes,Brand,,,,2,Locally sourced,40,Pouch,Milk Distributor,Wife,,,,
10296936637,52,Male,4,Tamil Nadu,South,No,,,,,,,,,Yes,Brand,,,,6,Cup,320,Cup,Retail Outlet,Wife,,,,
10296922175,45,Male,4,Karnataka,South,No,,,,,,,,,,,,,,,,,,,,,,,
10296883879,69,Male,4,Karnataka,South,Yes,Taste,,,30,15,Nandini,600,Milk Pouches,Yes,Taste,,,,5,Nandini,131.2,Pouch,Retail Outlet,Husband,,,,
10296824643,38,Female,4,Uttar Pradesh,North,Yes,Taste,,,30,25,Nandini,1000,Milk Pouches,"No, I make it at home",,,,,,,,,Milk Distributor,Self,,,,
10296823993,57,Female,3,Karnataka,South,Yes,Price,,,15,15,Nandini,600,No Specific Choice,Yes,Taste,,,,9,Nandini,213.2,Pouch,Milk Distributor,Self,,,,
10296775282,35,Female,4,Karnataka,South,Yes,Brand,,,8,25,Nandini,1000,Tetrapak,Yes,Taste,,,,4,Milky Mist,192,Cup,Retail Outlet,Wife,,,,
10296667063,32,Female,6,Karnataka,South,Yes,Brand,,,30,15,Nandini,600,Tetrapak,Yes,Brand,,,,5,Nandini,131.2,Pouch,Retail Outlet,Parents,,,,
10296636896,30,Female,3,Karnataka,South,Yes,Brand,,,30,35,Nandini,1400,Reusable Containers,Yes,Brand,,,,2,Amul,55,Pouch,Milk Distributor,Self,,,,
10296531058,33,Female,3,Karnataka,South,Yes,Taste,,,4,1,Nandini,20,Milk Pouches,Yes,Brand,,,,2,Nandini,41,Pouch,Milk Distributor,Husband,,,,
10295989855,<20,Male,2,Andaman and Nicobar Islands,South,,,,,,,,,,,,,,,,,,,,,,,,
10295604847,23,Female,5,Andhra Pradesh,South,Yes,Brand,,,15,10,Nandini,200,Milk Pouches,"No, I make it at home",,,,,,,,,Milk Distributor,Parents,,,,
10295464768,45,Female,4,Karnataka,South,Yes,Brand,,,30,25,Nandini,1000,No Specific Choice,Yes,Thickness,,,,2,Nandini,41,Pouch,Milk Distributor,Self,,,,
10295049454,48,Male,5,Karnataka,South,Yes,Brand,,,30,10,Nandini,200,No Specific Choice,Yes,Brand,,,,9,Nandini,213.2,Pouch,Ecommerce Site,Self,,,,
10294848271,>70,Female,5,Tamil Nadu,South,No,,,,,,,,,Yes,Taste,,,,1,Heritage,48,Cup,Retail Outlet,Wife,,,,
10294806712,31,Female,4,Telangana,South,,,,,,,,,,,,,,,,,,,,,,,,
10294694698,63,Female,4,Karnataka,South,No,,,,,,,,,"No, I make it at home",,,,,,,,,Retail Outlet,Self,,,,
10294223179,68,Male,2,Karnataka,South,Yes,Taste,,,8,10,Nandini,200,Milk Pouches,Yes,Taste,,,,5,Nandini,131.2,Pouch,Retail Outlet,Self,,,,
10294139841,35,Male,7,Bihar,East,Yes,Brand,,,8,10,Nandini,200,Milk Pouches,Yes,Taste,,,,3,Nandini,131.2,Cup,Retail Outlet,Self,,,,
10294135445,50,Female,3,Karnataka,South,Yes,Taste,,,30,25,Nandini,1000,Milk Pouches,"No, I make it at home",,,,,,,,,Milk Distributor,Wife,,,,
10294057947,49,Female,5,Karnataka,South,Yes,Brand,,,30,35,Nandini,1400,Milk Pouches,Yes,Thickness,,,,4,Nandini,213.2,Cup,Milk Distributor,Husband,,,,
10293320345,50,Female,3,Karnataka,South,Yes,Brand,,,30,15,Nandini,600,No Specific Choice,Yes,Thickness,,,,6,Milky Mist,312,Cup,Retail Outlet,Self,,,,
10293232005,57,Male,3,Karnataka,South,Yes,Taste,,,4,25,Nandini,1000,Milk Pouches,No,,,,,,,,,Retail Outlet,Wife,,,,
10293149586,43,Male,4,Tamil Nadu,South,Yes,Taste,,,30,25,Aavin,1025,Milk Pouches,"No, I make it at home",,,,,,,,,Milk Distributor,Wife,,,,
10292471565,25,Male,4,Telangana,South,No,,,,,,,,,Yes,Brand,,,,10,Nandini,262.4,Pouch,Milk Distributor,Self,,,,
10292198054,45,Female,4,Andhra Pradesh,South,Yes,Brand,,,4,25,Nandini,1000,Milk Pouches,Yes,Brand,,,,9,Nandini,213.2,Pouch,Milk Distributor,Self,,,,
10292142532,49,Male,3,Karnataka,South,Yes,Taste,,,30,25,Nandini,1000,Milk Pouches,No,,,,,,,,,Retail Outlet,Self,,,,
10292124872,64,Female,5,Karnataka,South,Yes,Brand,,,15,15,Nandini,600,Milk Pouches,Yes,Brand,,,,10,Brittania,520,Cup,Retail Outlet,Self,,,,
10292073163,53,Male,5,Karnataka,South,No,,,,,,,,,Yes,Brand,,,,1,Nandini,41,Cup,Retail Outlet,Household help,,,,
10290955902,69,Male,2,Karnataka,South,Yes,Price,,,30,25,Heritage,1100,Milk Pouches,"No, I make it at home",,,,,,,,,Retail Outlet,Wife,,,,
10290192792,47,Female,4,Karnataka,South,Yes,Taste,,,30,25,Locally Sourced,,No Specific Choice,"No, I make it at home",,,,,,,,,Retail Outlet,Parents,,,,
10290010622,45,Male,4,Karnataka,South,No,,,,,,,,,Yes,Brand,,,,5,Nandini,131.2,Pouch,Milk Distributor,Wife,,,,
10289932626,40,Female,6,Karnataka,South,Yes,Brand,,,30,45,Akshayakalpa,3150,Reusable Containers,Yes,Price,,,,26,Akshayakalpa,640,Pouch,Retail Outlet,Self,,,,
10289883239,20,Male,3,Karnataka,South,Yes,Taste,,,30,25,Nandini,1000,Milk Pouches,Yes,Taste,,,,9,Nandini,213.2,Pouch,Retail Outlet,Parents,,,,
10288738314,27,Female,4,Karnataka,South,Yes,Brand,,,30,55,Nandini,2200,Milk Pouches,Yes,Thickness,,,,5,Nandini,131.2,Pouch,Retail Outlet,Parents,,,,
10288403401,<20,Female,4,Haryana,North,,,,,,,,,,,,,,,,,,,,,,,,
10288208293,33,Female,4,Andhra Pradesh,South,Yes,Price,,,4,10,Heritage,220,No Specific Choice,,,,,,,,,,,,,,,
10288202267,37,Male,2,Telangana,South,Yes,Taste,,,30,35,Nandini,1400,Tetrapak,Yes,Thickness,,,,10,Heritage,249.6,Pouch,Retail Outlet,Wife,,,,
10288111767,35,Male,2,Andhra Pradesh,South,No,,,,,,,,,"No, I make it at home",,,,,,,,,Retail Outlet,Self,,,,
10288028967,36,Female,5,Punjab,North,Yes,Taste,,,30,75,Nandini,3000,No Specific Choice,Yes,Taste,,,,10,Nandini,262.4,Pouch,Retail Outlet,Self,,,,
10287744171,59,Female,4,Kerala,South,No,,,,,,,,,Yes,Taste,,,,8,Milky Mist,192,Pouch,Ecommerce Site,Self,,,,
10287634897,59,Male,5,Karnataka,South,Yes,Price,,,30,35,Nandini,1400,Milk Pouches,No,,,,,,,,,Milk Distributor,Self,,,,
10287550197,66,Male,5,Karnataka,South,Yes,Brand,,,15,25,Nandini,1000,Milk Pouches,Yes,Brand,,,,9,Nandini,213.2,Pouch,Milk Distributor,Self,,,,
10287515671,42,Male,5,Karnataka,South,Yes,Brand,,,30,15,Nandini,600,Milk Pouches,Yes,Taste,,,,1,Amul,55,Cup,Retail Outlet,Wife,,,,
10287483034,39,Female,3,Andhra Pradesh,South,Yes,Brand,,,30,35,Nandini,1400,No Specific Choice,Yes,Brand,,,,12,Milky Mist,312,No Specific Choice,Retail Outlet,Wife,,,,
10287479345,31,Male,4,Andhra Pradesh,South,Yes,Taste,,,30,25,Locally Sourced,625,Reusable Containers,"No, I make it at home",,,,,,,,,Milk Distributor,Self,,,,
10287345851,36,Female,2,Karnataka,South,No,,,,,,,,,"No, I make it at home",,,,,,,,,Retail Outlet,Self,,,,
10287550198,66,Male,5,Karnataka,South,Yes,Brand,,,15,25,Nandini,1000,Milk Pouches,Yes,Brand,,,,9,Nandini,213.2,Pouch,Milk Distributor,Self,,,,
10287744172,59,Female,4,Kerala,South,No,,,,,,,,,Yes,Taste,,,,8,Milky Mist,192,Pouch,Ecommerce Site,Self,,,,
10288403410,<20,Female,4,Haryana,North,,,,,,,,,,,,,,,,,,,,,,,,
10287288920,57,Male,3,Andhra Pradesh,South,Yes,Price,,,4,25,Sangam,1100,Milk Pouches,No,,,,,,,,,Retail Outlet,Wife,,,,
Respondent ID,Preferred Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10287148716,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10286063608,Amul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285443789,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285398377,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285294329,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285238295,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10285212387,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10284733456,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10283431019,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10283335040,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10282400736,Amul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10282392209,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10282374920,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10282212941,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279994518,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279878560,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279723389,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279585970,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279445644,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279413363,Gokul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279411671,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279400655,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279333212,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279321375,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279283054,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279245522,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279226091,Locally Sourced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279225169,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279218277,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279214061,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10279203411,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10278016992,Nilgiris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10277327530,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10276978929,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10276941577,Arokya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10274526409,Nandini,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10274511481,Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
